campaign_id,campaign_name,industry,sender,receiver,date,metric,value
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-01,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-02,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-03,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-04,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-05,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-06,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-07,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-08,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-09,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-10,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-11,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-12,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-13,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-14,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-15,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-16,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-17,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-18,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-19,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-20,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-21,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-22,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-23,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-24,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-25,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-26,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-27,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-28,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-29,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-30,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-31,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-01,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-02,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-03,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-04,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-05,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-06,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-07,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-08,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-09,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-10,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-11,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-12,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-13,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-14,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-15,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-16,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-17,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-18,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-19,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-20,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-21,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-22,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-23,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-24,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-25,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-26,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-27,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-28,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-29,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-04-30,Replied,0
62,Equipment Rental - Microsoft → Proofpoint (21_04),Equipment Rental,Microsoft,Proofpoint,2026-03-01,Total Opens,0
